page	index	kind	element	english	japanese
index.html	55	text	dd	One day, several days, recurring weekly cover or a longer temporary period.	1日、数日間、毎週の定期代講、またはより長い短期手配。
index.html	56	text	dt	Possible settings	対象となる教育機関
index.html	57	text	dd	English schools, academies, private and international programmes and related education providers.	英会話スクール、各種アカデミー、私立・国際教育プログラム、その他の教育機関。
index.html	58	text	dt	Possible age groups	対象となる年齢層
index.html	59	text	dd	Children, teenagers and adults, depending upon suitability and assignment requirements.	ご依頼内容と講師の適合性に応じて、子ども、中高生、成人に対応します。
index.html	60	text	dt	Possible lesson types	対象となる授業形式
index.html	61	text	dd	Group classes, private lessons, conversation classes, trials and special programmes.	グループレッスン、個人レッスン、英会話、体験授業、特別講座。
index.html	62	text	a	Read the Full Teacher Cover Page	講師の代講・短期手配について詳しく見る
index.html	63	text	p	Precise.	正確に。
index.html	64	text	p	Judgement before assurance.	確約より先に、適切な判断を。
index.html	65	text	p	Our Governing Principle	Englishireの基本原則
index.html	66	text	h2	Every assignment deserves proper consideration before a promise is made.	どのご依頼も、確約する前に十分な確認と検討が必要です。
index.html	67	text	p	A school should receive an answer founded upon the actual timetable, learners, location, lesson expectations and nature of the work—not upon haste or convenience.	学校への回答は、急ぎや都合ではなく、実際の時間割、学習者、所在地、授業内容、担当業務に基づくべきです。
index.html	68	text	p	The full document explains the principles by which suitability, preparation, professional conduct and communication are considered.	全文では、講師の適合性、事前準備、職務上の行動、連絡方法を判断するための原則を説明しています。
index.html	69	text	a	Read The Englishire Standard	Englishireの基準を読む
index.html	70	text	p	How It Works	ご利用の流れ
index.html	71	text	h2	A clear process, from enquiry to handover.	お問い合わせから引き継ぎまで、明確な流れで進めます。
index.html	72	text	p	A straightforward sequence, with no promise made ahead of proper consideration.	必要事項を確認する前に確約せず、順を追って手配を進めます。
index.html	73	text	p	01	01
index.html	74	text	h3	The School Explains the Requirement	学校から必要事項を共有
index.html	75	text	p	Location, dates, timetable, learner groups and the reason cover is required.	所在地、日程、時間割、学習者の年齢層、代講が必要な理由をお知らせください。
index.html	76	text	p	02	02
index.html	77	text	h3	The Assignment Is Reviewed	ご依頼内容を確認
index.html	78	text	p	The requirement is considered as a whole rather than as an empty space in a diary.	単に予定の空きを埋めるのではなく、ご依頼全体を確認します。
index.html	79	text	p	03	03
index.html	80	text	h3	Suitability and Availability Are Considered	適合性と空き状況を確認
index.html	81	text	p	A teacher must be free, certainly, but also appropriate for the school and learners.	講師の予定が空いていることに加え、その学校と学習者に適していることが必要です。
index.html	82	text	p	04	04
index.html	83	text	h3	The Arrangement Is Confirmed and Prepared	手配を確定し、事前準備を実施
index.html	84	text	p	The teacher receives the timetable, lesson information and school procedures required for a dependable arrival.	講師には、時間割、授業情報、到着・受付を含む学校の手順を事前に共有します。
index.html	85	text	a	Read the Full Process	詳しいご利用の流れを見る
index.html	86	text	p	From Englishire Journal	Englishire Journalより
index.html	87	text	h2	Thoughtful schools deserve thoughtful writing.	学校運営を真剣に考える方へ、丁寧に書かれた論考を。
index.html	88	text	p	Three essays from the present collection, selected for readers encountering the Journal for the first time.	Englishire Journalを初めて読む方に向けて、現在のコレクションから3本の論考を選びました。
index.html	89	text	p	Featured Essay · The Industry	注目の論考・業界
index.html	90	text	a	The End of the Easy Teacher	The End of the Easy Teacher
index.html	91	text	p	How Japan's English schools spent decades mistaking a desire to come to Japan for a desire to teach—and why that assumption no longer holds.	日本の英語教育業界は長年、「日本に来たい」という希望を「教えたい」という意欲と取り違えてきました。その前提が、なぜ今では成り立たないのかを考察します。
index.html	92	text	a	Read the essay	論考を読む
index.html	93	text	p	Essay · School Operations	論考・学校運営
index.html	94	text	a	How Schools Can Handle Staff Shortages	How Schools Can Handle Staff Shortages
index.html	95	text	p	Why a staffing gap rarely remains confined to one classroom, and what separates schools that recover calmly from those that scramble.	人員不足が一つの教室だけの問題では終わらない理由と、落ち着いて立て直せる学校と混乱する学校の違いを考えます。
index.html	96	text	a	Read the essay	論考を読む
index.html	97	text	p	Case Study · Leadership	ケーススタディ・経営
index.html	98	text	a	School Collapse After Three Decades	School Collapse After Three Decades
index.html	99	text	p	How an unresolved staff conflict, management inaction and a sequence of preventable failures helped close a long-standing Tokyo school.	解決されない職員間の対立、経営側の不作為、防ぐことのできた失敗の積み重ねが、東京で長年続いた学校の閉鎖につながった経緯を検証します。
index.html	100	text	a	Read the case study	ケーススタディを読む
index.html	101	text	p	The Journal is a genuine editorial publication devoted to school continuity, staffing, leadership and the practical life of English education in Japan.	Englishire Journalは、学校運営の継続、人員体制、リーダーシップ、日本の英語教育の実務を扱う編集出版物です。
index.html	102	text	a	Enter Englishire Journal	Englishire Journalを読む
index.html	103	text	p	Refined.	節度をもって。
index.html	104	text	p	English in manner. Tokyo in understanding.	姿勢は英国らしく。理解は東京に深く根ざして。
index.html	105	text	p	About Englishire	Englishireについて
index.html	106	text	h2	A proper understanding of the classroom.	実際の教室を理解することから。
index.html	107	text	p	Englishire provides temporary English teacher cover for schools throughout Tokyo. The work is shaped by substantial experience across the city's broad range of English-learning environments.	Englishireは、東京都内の学校向けに英語講師の代講・短期手配を提供しています。東京にある多様な英語教育の現場で培った経験を、手配と授業支援に生かしています。
index.html	108	text	p	The manner is measured, courteous and properly prepared. The understanding is thoroughly Tokyo: schools, timetables, learners, travel and the practical realities of the day.	対応は落ち着いて丁寧に行い、必要な準備を整えます。学校、時間割、学習者、移動、当日の実務など、東京の教育現場を具体的に理解したうえで対応します。
index.html	109	text	a	Read About Englishire	Englishireについて詳しく見る
index.html	110	text	p	Questions Before the Enquiry	お問い合わせ前によくあるご質問
index.html	111	text	h2	Clear answers before a school is asked to decide.	学校が判断する前に、必要な情報を明確にお伝えします。
index.html	112	text	p	A small selection from the full Questions reference.	よくあるご質問から一部をご紹介します。
index.html	113	text	summary	How much notice does Englishire require?	どのくらい前までに連絡すればよいですか？
index.html	114	text	p	More notice generally provides more options, though urgent enquiries are welcome. Availability depends upon the dates, times, location and nature of the assignment.	早めにご連絡いただくほど、対応できる選択肢は増えます。急ぎのご相談も受け付けていますが、対応可否は日程、時間、所在地、ご依頼内容によって異なります。
index.html	115	text	summary	Can a teacher cover just one day?	1日だけの代講も依頼できますか？
index.html	116	text	p	Yes. An assignment may concern a single day, recurring weekly cover or a longer temporary placement.	はい。1日だけの代講、毎週の定期代講、より長い期間の短期手配を検討できます。
index.html	117	text	summary	Does making contact guarantee cover?	問い合わせれば、必ず講師を手配できますか？
index.html	118	text	p	No. Every assignment must be reviewed before it can be confirmed.	いいえ。ご依頼内容を確認し、適切に対応できると判断した後に手配を確定します。
index.html	119	text	summary	What information should a school provide?	学校からどのような情報を伝えればよいですか？
index.html	120	text	p	Please include the location, dates, timetable, learner ages, class sizes, lesson format and any particular requirements.	所在地、日程、時間割、学習者の年齢、クラス人数、授業形式、その他のご要望をお知らせください。
index.html	121	text	a	Read All Questions	よくあるご質問をすべて見る
index.html	122	text	p	Before It Becomes Urgent	急ぎになる前に
index.html	123	text	h2	A sensible introduction is preferable to a frantic first conversation.	緊急時に慌てて初めて連絡するより、事前に学校について共有していただく方が、適切な対応につながります。
index.html	124	text	p	Schools are welcome to introduce themselves before an urgent need arises. A prior understanding of the school, its timetable and the sort of cover it may require can make a future request easier to assess.	代講が急に必要になる前でも、学校についてご連絡いただけます。学校の特徴、時間割、将来必要になり得る代講の内容を事前に把握しておくと、実際のご依頼をより速く正確に検討できます。
index.html	125	text	p	Tell us about your school, its timetable and the temporary support it may require in future.	学校の概要、時間割、今後必要になる可能性のある短期支援についてお知らせください。
index.html	126	text	a	Introduce Your School	学校について知らせる
index.html	127	text	p	Teacher Cover Enquiries	英語講師の代講に関するお問い合わせ
index.html	128	text	h2	When the timetable needs dependable cover, tell us what the school requires.	時間割を確実に維持するための代講が必要なときは、学校が必要としている内容をお知らせください。
index.html	129	text	p	Send the school location, requested dates, lesson times, learner age groups and the nature of the assignment.	学校所在地、ご希望の日程、授業時間、学習者の年齢層、ご依頼内容をお送りください。
index.html	130	text	a	Request Teacher Cover	代講について相談する
index.html	131	text	a	Read the Questions	よくあるご質問を見る
index.html	132	text	span	Temporary Teacher Cover · Tokyo	東京都内の学校向け英語講師の代講・短期手配
index.html	133	text	p	Considered temporary English teacher cover for Tokyo schools.	東京の学校を対象に、内容を丁寧に確認したうえで英語講師の代講・短期手配を行います。
index.html	134	text	p	Services	サービス
index.html	135	text	a	Teacher Cover	講師の代講・短期手配
index.html	136	text	a	When We Help	対応できるケース
index.html	137	text	a	How It Works	ご利用の流れ
index.html	138	text	a	Request Teacher Cover	代講について相談する
index.html	139	text	p	Englishire	Englishire
index.html	140	text	a	About	Englishireについて
index.html	141	text	a	Journal	Journal
index.html	142	text	a	Questions	よくあるご質問
index.html	143	text	a	Contact	お問い合わせ
index.html	144	text	p	Enquiries	お問い合わせ
index.html	145	text	p	For temporary teacher cover, please include the school location, requested dates and lesson schedule.	英語講師の代講についてお問い合わせの際は、学校所在地、ご希望の日程、授業時間をお知らせください。
index.html	146	text	a	Start an enquiry	問い合わせる
index.html	147	text	p	©	©
index.html	148	text	span	2026	2026
index.html	149	text	p	Englishire. All rights reserved.	Englishire. 無断転載を禁じます。
index.html	150	text	a	Privacy	プライバシー
index.html	151	text	a	Terms	利用規約
index.html	152	text	a	Cookies	Cookieポリシー
index.html	153	text	p	This website works best with JavaScript enabled, but all essential service information and links remain available.	このサイトはJavaScriptを有効にすると快適にご利用いただけますが、主要なサービス情報とリンクはJavaScriptなしでも確認できます。
index.html	154	attr:aria-label	a	Englishire homepage	Englishireホームページ
index.html	155	attr:alt	img	Englishire	Englishire
index.html	156	attr:aria-label	nav	Primary navigation	メインナビゲーション
index.html	157	attr:aria-label	div	Englishire service actions	Englishireのサービス操作
index.html	158	attr:aria-label	ul	Englishire service summary	Englishireのサービス概要
index.html	159	attr:alt	img	English teacher leading a classroom lesson	教室で授業を進める英語講師
index.html	160	attr:alt	img	Editorial image for The End of the Easy Teacher	The End of the Easy Teacherの編集用画像
index.html	161	attr:alt	img	Editorial image for How Schools Can Handle Staff Shortages	How Schools Can Handle Staff Shortagesの編集用画像
index.html	162	attr:alt	img	Editorial image for the school collapse case study	学校閉鎖のケーススタディ用画像
index.html	163	attr:aria-label	a	Return to Englishire homepage	Englishireホームページへ戻る
index.html	164	attr:alt	img	Englishire	Englishire
index.html	165	attr:aria-label	nav	Footer service navigation	フッターのサービス案内
index.html	166	attr:aria-label	nav	Footer company navigation	フッターのEnglishire案内
index.html	167	meta	description	Englishire provides considered temporary English teacher cover for schools throughout Tokyo, supported by a clear professional process and Englishire Journal.	Englishireは、明確な手続きと専門的な判断に基づき、東京都内の学校へ英語講師の代講・短期手配を提供しています。Englishire Journalでは、学校運営と英語教育の実務を発信しています。
index.html	168	meta	og:type	website	website
index.html	169	meta	og:title	Temporary English Teacher Cover for Tokyo Schools | Englishire	東京の学校向け英語講師の代講・短期手配 | Englishire
index.html	170	meta	og:description	Considered temporary English teacher cover for Tokyo schools, with clear process, measured judgement and thoughtful writing on school continuity.	明確な手続きと慎重な判断に基づく、東京の学校向け英語講師の代講・短期手配。学校運営の継続について考えるEnglishire Journalも掲載しています。
index.html	171	meta	og:url	https://englishire.com/	https://englishire.com/ja/
index.html	172	meta	og:image	https://englishire.com/englishire-logo.png	https://englishire.com/englishire-logo.png
index.html	173	meta	og:image:alt	Englishire temporary English teacher cover for Tokyo schools	東京の学校向けEnglishire英語講師代講サービス
index.html	174	meta	twitter:card	summary_large_image	summary_large_image
index.html	175	meta	twitter:title	Temporary English Teacher Cover for Tokyo Schools | Englishire	東京の学校向け英語講師の代講・短期手配 | Englishire
index.html	176	meta	twitter:description	Considered temporary English teacher cover for Tokyo schools, with proper attention to the school, the learners and the assignment.	学校、学習者、ご依頼内容を丁寧に確認して行う、東京の学校向け英語講師の代講・短期手配です。
index.html	177	meta	twitter:image	https://englishire.com/englishire-social-preview.jpg	https://englishire.com/englishire-social-preview.jpg
teacher-cover.html	1	text	[document]	html	html
teacher-cover.html	2	text	title	Temporary English Teacher Cover in Tokyo | Englishire	東京の学校向け英語講師の代講・短期手配 | Englishire
teacher-cover.html	3	text	a	Skip to main content	本文へ移動
teacher-cover.html	4	text	span	Menu	メニュー
teacher-cover.html	5	text	a	Teacher Cover	講師の代講・短期手配
teacher-cover.html	6	text	a	When We Help	対応できるケース
teacher-cover.html	7	text	a	How It Works	ご利用の流れ
teacher-cover.html	8	text	a	Journal	Journal
teacher-cover.html	9	text	a	About	Englishireについて
teacher-cover.html	10	text	a	Request Teacher Cover	代講について相談する
teacher-cover.html	11	text	p	Temporary English Teacher Cover · Tokyo	東京都内の学校向け英語講師の代講・短期手配
teacher-cover.html	12	text	h1	Cover the timetable without lowering the standard.	教育の質を保ちながら、時間割を維持します。
teacher-cover.html	13	text	p	Considered temporary English teacher cover for schools facing absence, recruitment gaps, timetable changes and additional demand.	講師の欠勤、採用までの空白期間、時間割の変更、授業需要の増加に対応する、学校向け英語講師の代講・短期手配です。
teacher-cover.html	14	text	p	Englishire exists to preserve the continuity of education whilst schools take the time required to make sound decisions. Whether cover is needed for a single day or a considerably longer assignment, the work begins with a proper understanding of the school, the learners and the lessons concerned.	Englishireは、学校が必要な検討を行い、適切な判断を下すまでの間も教育を継続できるよう支援します。1日だけの代講でも、より長い期間のご依頼でも、まず学校、学習者、対象となる授業を正確に把握することから始めます。
teacher-cover.html	15	text	a	Request Teacher Cover	代講について相談する
teacher-cover.html	16	text	a	What We Consider	確認する事項
teacher-cover.html	17	text	strong	One day or longer	1日から長期間まで
teacher-cover.html	18	text	span	Cover may be brief, recurring or extended.	1日だけの代講、毎週の定期的な代講、長期の短期手配に対応します。
teacher-cover.html	19	text	strong	Tokyo focused	東京を中心に対応
teacher-cover.html	20	text	span	Assignments are considered across Tokyo and nearby areas.	東京都内および近隣地域のご依頼を、移動条件を含めて個別に検討します。
teacher-cover.html	21	text	strong	Properly reviewed	内容を確認してから確定
teacher-cover.html	22	text	span	No assignment is promised before its requirements are understood.	必要事項を把握する前に、ご依頼を確約することはありません。
teacher-cover.html	23	text	figcaption	A temporary teacher leads a classroom lesson. Proper briefing allows cover to support the lesson, the learners and the routines already established by the school.	短期で担当する講師が教室で授業を進めています。適切な事前説明があれば、学校が築いてきた授業、学習者への対応、日常の手順を維持しながら代講できます。
teacher-cover.html	24	text	p	A Published Standard	明文化された基準
teacher-cover.html	25	text	p	Professional teacher cover begins long before a teacher enters the classroom.	専門的な代講手配は、講師が教室に入る前の確認と準備から始まります。
teacher-cover.html	26	text	p	Every temporary assignment is considered according to the principles set out in	すべての短期のご依頼は、次に示す原則に基づいて検討します。
teacher-cover.html	27	text	em	The Englishire Standard	Englishireの基準
teacher-cover.html	28	text	p	. The document describes how we approach suitability, preparation, continuity, professional conduct and the responsibilities owed to each school.	この文書では、講師の適合性、事前準備、学習の継続、職務上の行動、学校に対する責任について、Englishireの考え方を説明しています。
teacher-cover.html	29	text	p	It exists because temporary cover should not depend upon assumption. Schools should be able to understand the judgement behind an arrangement, as well as the practical service itself.	短期の代講を思い込みで手配しないために、この基準を公開しています。学校には、実際のサービス内容だけでなく、手配の根拠となる判断も理解していただけるようにします。
teacher-cover.html	30	text	span	01	01
teacher-cover.html	31	text	p	Suitability before availability.	空き状況より適合性を優先します。
teacher-cover.html	32	text	span	02	02
teacher-cover.html	33	text	p	Preparation protects the classroom.	事前準備が授業の安定を守ります。
teacher-cover.html	34	text	span	03	03
teacher-cover.html	35	text	p	Continuity before convenience.	利便性より学習の継続を優先します。
teacher-cover.html	36	text	a	Read The Englishire Standard	Englishireの基準を読む
teacher-cover.html	37	text	p	The Quiet Machinery of a School	学校を静かに動かす仕組み
teacher-cover.html	38	text	h2	Every school relies upon a timetable.	どの学校も、時間割によって一日を運営しています。
teacher-cover.html	39	text	p	A timetable is not merely a collection of lesson times and room numbers. It is a carefully arranged sequence of people, places and expectations which allows the school day to proceed with quiet efficiency.	時間割は、授業時間と教室番号を並べただけのものではありません。人、場所、役割、期待を慎重に組み合わせ、学校の一日を滞りなく進めるための仕組みです。
teacher-cover.html	40	text	p	When everything unfolds as intended, very little attention is paid to it. Teachers arrive. Pupils arrive. Lessons begin. The school simply gets on with the business of education.	すべてが予定どおりに進んでいるとき、その仕組みが意識されることはほとんどありません。講師が到着し、生徒が来校し、授業が始まり、学校はいつもどおり教育を行います。
teacher-cover.html	41	text	p	Schools, however, are living organisations rather than perfectly engineered machines. A teacher becomes unwell. A family emergency demands immediate attention. Recruitment takes rather longer than anticipated. Enrolment grows more quickly than the teaching team.	しかし、学校は完全に設計された機械ではなく、人が動かす組織です。講師が体調を崩すことも、家族の緊急事態に対応しなければならないこともあります。採用が予定より長引いたり、講師体制が整うより早く受講者が増えたりすることもあります。
teacher-cover.html	42	text	p	The timetable remains entirely unmoved by such inconveniences. Tomorrow morning still arrives. The pupils still appear. The lessons still require a teacher.	そうした事情があっても、時間割は待ってくれません。翌朝は予定どおり訪れ、生徒は来校し、授業には講師が必要です。
teacher-cover.html	43	text	p	It is precisely for those moments that Englishire exists.	Englishireは、まさにそのような場面に対応するためにあります。
teacher-cover.html	44	text	p	What Temporary Cover Means	短期の代講が果たす役割
teacher-cover.html	45	text	h2	Breathing room, properly arranged.	学校が適切な判断をするための時間を、責任を持って確保します。
teacher-cover.html	46	text	p	Temporary teacher cover is sometimes mistaken for a hurried attempt to place any available individual in front of a classroom. It should be nothing of the sort.	短期の代講は、予定が空いている人を急いで教室に立たせることだと思われがちです。しかし、本来そのような手配であってはなりません。
teacher-cover.html	47	text	p	Proper cover allows lessons to continue whilst the school deals with the wider staffing matter carefully. It protects continuity without pretending that a temporary arrangement should replace thoughtful permanent recruitment.	適切な代講があれば、学校が人員体制の問題を慎重に検討している間も授業を継続できます。短期手配を常勤採用の代わりにするのではなく、採用を丁寧に進めるための時間を確保します。
teacher-cover.html	48	text	p	A rushed appointment made under pressure may create difficulties which endure for months. A sensible temporary assignment, by contrast, gives the school time to recruit properly, interview carefully and preserve its standards in the meantime.	切迫した状況で採用を急ぐと、その判断による問題が何か月も続くことがあります。適切な短期手配を利用すれば、学校は教育の質を保ちながら、採用と面接を慎重に進められます。
teacher-cover.html	49	text	dt	It is not a careless substitution	単に空きを埋める代講ではありません
teacher-cover.html	50	text	dd	Availability alone does not make a teacher suitable for a particular classroom.	予定が空いているというだけで、その講師が特定の授業に適しているとは限りません。
teacher-cover.html	51	text	dt	It is not permanent recruitment	常勤講師の採用ではありません
teacher-cover.html	52	text	dd	Temporary cover supports the school whilst longer-term decisions are made with the care they deserve.	短期の代講は、学校が長期的な人員判断を慎重に行う間の授業運営を支えます。
teacher-cover.html	53	text	dt	It is not a lowering of standards	教育水準を下げるものではありません
teacher-cover.html	54	text	dd	A school's expectations should not change merely because the member of staff has.	担当者が替わったという理由だけで、学校の教育方針や期待水準を変えるべきではありません。
teacher-cover.html	55	text	dt	It is a practical interval	次の判断までを支える実務的な手配です
teacher-cover.html	56	text	dd	Proper cover preserves lessons, protects confidence and provides time for sound judgement.	適切な代講は授業を継続し、学校の信頼を守り、適切な判断に必要な時間を確保します。
teacher-cover.html	57	text	p	When Schools Call Upon Us	学校からご相談いただく場面
teacher-cover.html	58	text	h2	Staffing difficulties seldom arrive at a convenient hour.	人員の問題は、都合のよいタイミングで起こるとは限りません。
teacher-cover.html	59	text	p	The first lesson of the day has an unfortunate habit of arriving before every staffing problem has been solved.	人員の問題が解決するのを待たずに、その日の最初の授業は始まります。
teacher-cover.html	60	text	p	01	01
teacher-cover.html	61	text	h3	Unexpected Absence	突然の欠勤
teacher-cover.html	62	text	p	There is little benefit in pretending that illness, family emergencies or travel disruption respect school timetables. They do not.	病気、家族の緊急事態、交通障害が学校の時間割に合わせて起こることはありません。
teacher-cover.html	63	text	p	Schools frequently discover early in the morning that a teacher will not be arriving. Pupils are already travelling, parents remain unaware of the difficulty and lessons begin within hours. Temporary cover exists so the day may proceed with composure rather than panic.	早朝になって、担当講師が来られないと分かることがあります。生徒はすでに学校へ向かい、保護者はまだ状況を知らず、数時間後には授業が始まります。短期の代講は、学校が慌てずに一日を進めるための手段です。
teacher-cover.html	64	text	p	02	02
teacher-cover.html	65	text	h3	Recruitment Gaps	採用までの空白期間
teacher-cover.html	66	text	p	Recruiting well generally requires patience. Recruiting in haste generally requires compromise.	適切な採用には、通常、時間が必要です。採用を急げば、妥協が生じやすくなります。
teacher-cover.html	67	text	p	A school ought never to feel obliged to appoint the first acceptable candidate merely because Monday's lessons require a teacher. Temporary cover provides the freedom to conduct the permanent search properly.	週明けの授業に講師が必要だからという理由だけで、最初に条件を満たした候補者を採用する必要はありません。短期の代講を利用することで、常勤講師の採用を適切に進める余裕が生まれます。
teacher-cover.html	68	text	p	03	03
teacher-cover.html	69	text	h3	Additional Capacity	授業数の増加への対応
teacher-cover.html	70	text	p	Occasionally the difficulty is not absence at all. New classes appear, enrolment increases or the timetable expands beyond the capacity of the existing team.	問題が欠勤ではない場合もあります。新しいクラスが増え、受講者数が伸び、既存の講師チームだけでは時間割に対応しきれなくなることがあります。
teacher-cover.html	71	text	p	Temporary support allows the school to meet that demand whilst deciding whether the increase represents a passing season or a permanent change.	短期支援を利用すれば、その増加が一時的なものか恒常的な変化かを見極めながら、目の前の授業需要に対応できます。
teacher-cover.html	72	text	p	04	04
teacher-cover.html	73	text	h3	Programmes, Trials and Events	講座・体験授業・イベント
teacher-cover.html	74	text	p	A school may require a teacher for an intensive course, a demonstration lesson, a seasonal programme, an event or a limited series of classes.	集中講座、体験授業、季節プログラム、イベント、回数限定の授業などで、一定期間だけ講師が必要になることがあります。
